,event
2023-02-11 18:33:55.307010,lick
2023-02-11 18:33:55.308007,lick
2023-02-11 18:33:52.690748,lick
2023-02-11 18:33:52.691747,lick
2023-02-11 18:33:52.692740,lick
2023-02-11 18:33:52.693735,lick
2023-02-11 18:33:43.796895,beam4
2023-02-11 18:33:43.864482,beam5
2023-02-11 18:33:43.931759,beam6
2023-02-11 18:33:43.994969,beam7
2023-02-11 18:33:44.069954,beam8
2023-02-11 18:33:42.920408,beam7
2023-02-11 18:33:42.923436,beam6
2023-02-11 18:33:42.963595,beam5
2023-02-11 18:33:42.981578,beam5
2023-02-11 18:33:43.023436,beam4
2023-02-11 18:33:43.038505,beam4
2023-02-11 18:33:43.091426,beam3
2023-02-11 18:33:43.284628,beam2
2023-02-11 18:33:43.426183,beam1
2023-02-11 18:33:43.672879,beam3
2023-02-11 18:33:42.485955,beam8
2023-02-11 18:33:42.486949,juicer_valve3 open
2023-02-11 18:33:42.895522,juicer_valve3 close
2023-02-11 18:33:31.707411,beam14
2023-02-11 18:33:30.887113,beam9
2023-02-11 18:33:30.959104,beam9
2023-02-11 18:33:31.222765,beam9
2023-02-11 18:33:31.321108,beam10
2023-02-11 18:33:31.457846,beam11
2023-02-11 18:33:31.529415,beam12
2023-02-11 18:33:31.597964,beam13
2023-02-11 18:33:29.786012,beam10
2023-02-11 18:33:29.869550,beam11
2023-02-11 18:33:29.924376,beam12
2023-02-11 18:33:29.975478,beam13
2023-02-11 18:33:30.023879,beam14
2023-02-11 18:33:30.069658,beam15
2023-02-11 18:33:30.114405,beam16
2023-02-11 18:33:30.272065,beam15
2023-02-11 18:33:30.385534,beam14
2023-02-11 18:33:30.461744,beam13
2023-02-11 18:33:30.517247,beam12
2023-02-11 18:33:30.572304,beam11
2023-02-11 18:33:30.631638,beam10
2023-02-11 18:33:29.652679,beam9
2023-02-11 18:33:23.650516,lick
2023-02-11 18:33:22.557143,lick
2023-02-11 18:33:22.558147,lick
2023-02-11 18:33:11.624569,lick
2023-02-11 18:33:11.625565,lick
2023-02-11 18:33:11.626561,lick
2023-02-11 18:33:11.644485,lick
