port,name
Dev2/port0/line0,dlk
Dev2/port0/line1,
Dev2/port0/line2,cdkmk
Dev2/port0/line3,
Dev2/port0/line5,
Dev2/port1/line0,
Dev2/port1/line1,
Dev2/port1/line2,
Dev2/port1/line3,
Dev2/port1/line4,
Dev2/port1/line5,
Dev2/port1/line6,
Dev2/port1/line7,
Dev2/port0/line6,
Dev2/port0/line7,
Dev3/port0/line0,
Dev2/port5/line0,
Dev2/port5/line1,
Dev2/port5/line2,
Dev2/port5/line3,
Dev2/port5/line4,
Dev2/port5/line5,
Dev2/port5/line6,
Dev2/port5/line7,
Dev2/port2/line0,
Dev2/port2/line1,
Dev2/port2/line2,
Dev2/port2/line3,
Dev2/port2/line4,
Dev2/port2/line5,
